,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12361,921300697/8,HÃ¥kon Jarls gate 2,7030,TRONDHEIM,Borettslagsleilighet,28,28,0,1965,2,0.0,2022-12-16,2460000,359245.0,2819245.0,1,1,2022-12-07,9,Heimdal Eiendomsmegling,7030,4,3,1,0
12362,5001-95/424/0/0,Hoemsvegen 4 B,7019,TRONDHEIM,Selveier enebolig,0,233,0,1984,0,940.6,2022-12-16,5800000,0.0,5800000.0,5,0,2022-12-16,0,Other,7019,8,4,0,0
12363,948722763/259,Brundalen 27,7058,CHARLOTTENLUND,Borettslagsleilighet,97,109,115,1970,3,80659.7,2022-12-16,3710000,709385.0,4419385.0,4,3,2022-12-10,6,Privatmegleren,7058,9,3,0,0
12364,948061570/28,UlstadlÃ¸kkveien 22,7067,TRONDHEIM,Borettslagsleilighet,48,48,53,1918,2,3519.9,2022-12-16,2980000,44909.0,3024909.0,2,2,2022-12-08,8,Privatmegleren,7067,9,3,0,0
12365,5001-12/89/0/0,Tessems veg 21,7045,TRONDHEIM,Selveier enebolig,245,290,0,1960,0,749.5,2022-12-16,8649512,0.0,8649512.0,0,6,2022-03-25,0,Heimdal Eiendomsmegling,7045,4,4,1,0
12366,5001-13/54/0/26,Fernanda Nissens veg 43,7046,TRONDHEIM,Selveierleilighet,54,58,0,2017,3,2215.9,2022-12-16,3470000,0.0,3470000.0,2,1,2022-12-08,8,Eiendomsmegler 1,7046,3,7,1,0
12367,5001-417/54/0/1,Bynesveien 32,7018,TRONDHEIM,Selveierleilighet,89,129,0,1900,1,466.1,2022-12-16,4100000,0.0,4100000.0,3,2,2022-12-16,0,Other,7018,8,7,1,0
12368,5001-315/70/0/0,Vestre Rosten 51 B,7072,HEIMDAL,Selveier enebolig,297,323,370,1953,0,605.9,2022-12-16,6400000,0.0,6400000.0,0,7,2022-12-16,0,Other,7072,8,4,1,0
12369,5001-313/617/0/0,Sandbakkvegen 47 A,7072,HEIMDAL,Selveier enebolig,100,121,0,2013,0,323.9,2022-12-17,4890000,0.0,4890000.0,4,4,2022-11-16,31,Eiendomsmegler 1,7072,3,4,1,0
12370,959157871/191,Sollia 6,7033,TRONDHEIM,Borettslagsleilighet,84,88,0,1976,3,59117.9,2022-12-19,2950000,156120.0,3106120.0,4,3,2022-11-11,38,Heimdal Eiendomsmegling,7033,4,3,0,0
